Date : 2024-06-29 00:07:16
Directory : c:\Users\mohammad\Desktop\parsLancer
Total : 105 files,  34491 codes, 91 comments, 908 blanks, all 35490 lines

Languages
+-----------------------+------------+------------+------------+------------+------------+
| language              | files      | code       | comment    | blank      | total      |
+-----------------------+------------+------------+------------+------------+------------+
| JSON                  |          4 |     28,167 |          0 |          3 |     28,170 |
| vue                   |         27 |      3,914 |         52 |        523 |      4,489 |
| JavaScript            |         68 |      2,343 |         37 |        367 |      2,747 |
| Markdown              |          2 |         21 |          0 |          7 |         28 |
| JSON with Comments    |          1 |         19 |          0 |          1 |         20 |
| HTML                  |          1 |         16 |          1 |          1 |         18 |
| Environment Variables |          1 |          9 |          0 |          3 |         12 |
| Properties            |          1 |          2 |          1 |          3 |          6 |
+-----------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                         | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                            |        105 |     34,491 |         91 |        908 |     35,490 |
| backend                                                                                      |         67 |      9,738 |         32 |        351 |     10,121 |
| backend (Files)                                                                              |          4 |      7,527 |          1 |         11 |      7,539 |
| backend\config                                                                               |          2 |         10 |          0 |          3 |         13 |
| backend\controllers                                                                          |          9 |        721 |          7 |        106 |        834 |
| backend\helpers                                                                              |          7 |        482 |         12 |         71 |        565 |
| backend\middlewares                                                                          |         12 |        303 |          9 |         56 |        368 |
| backend\middlewares (Files)                                                                  |          3 |         67 |          1 |          6 |         74 |
| backend\middlewares\validators                                                               |          9 |        236 |          8 |         50 |        294 |
| backend\models                                                                               |          8 |        247 |          2 |         35 |        284 |
| backend\routes                                                                               |         13 |        121 |          0 |         34 |        155 |
| backend\schemas                                                                              |          8 |        257 |          1 |         22 |        280 |
| backend\utils                                                                                |          4 |         70 |          0 |         13 |         83 |
| frontend                                                                                     |         38 |     24,753 |         59 |        557 |     25,369 |
| frontend (Files)                                                                             |          7 |     20,733 |          1 |         14 |     20,748 |
| frontend\public                                                                              |          1 |         16 |          1 |          1 |         18 |
| frontend\src                                                                                 |         30 |      4,004 |         57 |        542 |      4,603 |
| frontend\src (Files)                                                                         |          2 |         38 |          2 |         12 |         52 |
| frontend\src\components                                                                      |         26 |      3,895 |         52 |        520 |      4,467 |
| frontend\src\router                                                                          |          1 |         44 |          0 |          4 |         48 |
| frontend\src\utils                                                                           |          1 |         27 |          3 |          6 |         36 |
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------+-----------------------+------------+------------+------------+------------+
| filename                                                                                     | language              | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------+-----------------------+------------+------------+------------+------------+
| c:\Users\mohammad\Desktop\parsLancer\backend\README.md                                       | Markdown              |          2 |          0 |          1 |          3 |
| c:\Users\mohammad\Desktop\parsLancer\backend\config\config.env                               | Environment Variables |          9 |          0 |          3 |         12 |
| c:\Users\mohammad\Desktop\parsLancer\backend\config\errors.js                                | JavaScript            |          1 |          0 |          0 |          1 |
| c:\Users\mohammad\Desktop\parsLancer\backend\controllers\adminController.js                  | JavaScript            |         41 |          0 |          6 |         47 |
| c:\Users\mohammad\Desktop\parsLancer\backend\controllers\captchaController.js                | JavaScript            |         31 |          0 |          9 |         40 |
| c:\Users\mohammad\Desktop\parsLancer\backend\controllers\messasgeController.js               | JavaScript            |         91 |          3 |         14 |        108 |
| c:\Users\mohammad\Desktop\parsLancer\backend\controllers\projectController.js                | JavaScript            |        152 |          2 |         21 |        175 |
| c:\Users\mohammad\Desktop\parsLancer\backend\controllers\projectSkillController.js           | JavaScript            |         88 |          0 |         10 |         98 |
| c:\Users\mohammad\Desktop\parsLancer\backend\controllers\skillController.js                  | JavaScript            |         61 |          0 |          5 |         66 |
| c:\Users\mohammad\Desktop\parsLancer\backend\controllers\suggestionController.js             | JavaScript            |         94 |          1 |         15 |        110 |
| c:\Users\mohammad\Desktop\parsLancer\backend\controllers\userController.js                   | JavaScript            |         92 |          0 |         16 |        108 |
| c:\Users\mohammad\Desktop\parsLancer\backend\controllers\userSkillController.js              | JavaScript            |         71 |          1 |         10 |         82 |
| c:\Users\mohammad\Desktop\parsLancer\backend\helpers\message.helper.js                       | JavaScript            |         57 |          3 |         11 |         71 |
| c:\Users\mohammad\Desktop\parsLancer\backend\helpers\projectSkill.helper.js                  | JavaScript            |         51 |          0 |         10 |         61 |
| c:\Users\mohammad\Desktop\parsLancer\backend\helpers\projects.helper.js                      | JavaScript            |         76 |          4 |         11 |         91 |
| c:\Users\mohammad\Desktop\parsLancer\backend\helpers\skills.helper.js                        | JavaScript            |         47 |          0 |          8 |         55 |
| c:\Users\mohammad\Desktop\parsLancer\backend\helpers\suggestion.helper.js                    | JavaScript            |         62 |          0 |          9 |         71 |
| c:\Users\mohammad\Desktop\parsLancer\backend\helpers\userSkill.helper.js                     | JavaScript            |         51 |          0 |         10 |         61 |
